adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/80vo7eYhAXPJltu32lG5JGrGPzG.jpg,[18],288603,['CN'],zh,炽夏,"To save her gravely ill grandmother, top student Zhou Wan approaches her mother's stepson, Lu Xixiao, for funds. They fall for each other over the summer after graduation but are torn apart by misunderstandings in reality. Ten years later, they reunite at work. Though Lu Xixiao harbors resentment, his love for Zhou Wan remains. As they uncover the truth behind a ""factory accident,"" they resolve their differences and reunite.",191.1972,/51x3GY7o07PqLgCN0UIJVHHzgCO.jpg,2026-06-16,False,Never-Ending Summer,9.0,2
False,/jIArNHIekrCSVgdMbKPAXpPY03Y.jpg,"[10751, 16, 35]",456,['US'],en,The Simpsons,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",169.2888,/uWpG7GqfKGQqX4YMAo3nv5OrglV.jpg,1989-12-17,False,The Simpsons,8.0,10839
False,/tUtXfyVy54BY7eJnRtI8Xnmr1ZL.jpg,"[80, 18, 9648]",4057,['US'],en,Criminal Minds,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",173.919,/hWSb4UnIjlTvnvrP98NbFSO60HA.jpg,2005-09-22,False,Criminal Minds,8.302,4102
False,/z0R6ToCsMMkLwuQXjzzdd1QCdJv.jpg,"[18, 9648, 80]",278178,['US'],en,I Will Find You,"Wrongfully imprisoned for murdering his own son, a father sets out on a desperate rescue mission after learning the boy may still be alive.",179.0183,/pb9oYHHNzauiCQZT03MpDAg46GI.jpg,2026-06-18,False,I Will Find You,8.229,140
False,/lH22EnM0ofC7GsVGU8dAA2RXV1c.jpg,"[10759, 16, 10762]",65334,['FR'],fr,"Miraculous, les aventures de Ladybug et Chat Noir","Marinette and Adrien, two Parisian teenagers, are entrusted with powerful jewels in order to transform into superheroes Ladybug and Cat Noir. But neither hero knows the other's true identity — or that they're classmates!",165.0609,/acrtAy8gmxcsEvrDP09MpMSCeDZ.jpg,2015-10-19,False,Miraculous: Tales of Ladybug & Cat Noir,8.059,4607
False,/4NRBKA8qVzCvuD3WeLieiLGmIjm.jpg,[16],95897,['JP'],ja,おーばーふろぉ,"Kazushi Sudou is a university student who is visited by his two childhood friends, the sisters Ayane and Kotone Shirakawa. When Ayane discovers that Kazushi not only forgot to buy her pudding but is also using her special lotion in the bath, she decides to take revenge and join Kazushi in his bath along with Kotone. Will the perverted Kazushi be able to remain indifferent to them both?",180.4827,/8RtwL5gxUvh9YViqjhNlVRvJpum.jpg,2020-01-06,False,Overflow,7.3,88
False,/l7wShoIdIUwaDIbsHno9pO5MZXT.jpg,"[16, 35]",1434,['US'],en,Family Guy,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",158.7812,/3PFsEuAiyLkWsP4GG6dIV37Q6gu.jpg,1999-01-31,False,Family Guy,7.406,4989
False,/aSye04zKzWtUP3U6Cl4bOXc5Ih9.jpg,"[80, 18]",1911,['US'],en,Bones,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.",150.0571,/eyTu5c8LniVciRZIOSHTvvkkgJa.jpg,2005-09-13,False,Bones,8.187,3512
False,/q4Z7mSe0uFRSg7NaZy3tVWa5eAx.jpg,[],322649,['HK'],cn,CHILL CLUB 推介,,187.2457,/3n0cY8IQTtFf8JSGpVrYbfcR0Wa.jpg,2020-05-25,False,CHILL CLUB 推介,0.0,0
False,/cvlLBcQWpO9X21jDHhgPJnE2aVq.jpg,"[80, 18, 9648]",1431,['US'],en,CSI: Crime Scene Investigation,"A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.",141.3187,/i5hmoRjHNWady4AtAGICTUXknKH.jpg,2000-10-06,False,CSI: Crime Scene Investigation,7.6,1393
False,/vyG93jhmPL7tBIhRtCLa5mdBKob.jpg,"[10759, 18, 35]",276161,['KR'],ko,참교육,An inspector from the Educational Rights Protection Bureau (ERPB) who is authorized by the government to use physical intervention and unconventional methods to discipline delinquent students and reform the educational system.,157.7108,/fMECSPrTmRClSViMsXFYmiYIcWP.jpg,2026-06-05,False,Teach You a Lesson,9.482,510
False,/5BDNWWHweQL0q1fmTv7gmRXfnl4.jpg,"[16, 35, 10765, 10759]",60625,['US'],en,Rick and Morty,Follows a sociopathic genius scientist who drags his inherently timid grandson on adventures across the universe.,150.8204,/owhkU6KRqdXoUQpjV8uyZGPtX58.jpg,2013-12-02,False,Rick and Morty,8.678,11021
False,/imHww4NFqZd0viitCOFQ2pjNFrz.jpg,"[16, 35, 18]",232393,['JP'],ja,6 LOVERS,"The July issue of Dear+ announced anime adaptions of a series of manga serialized in the magazine in celebration of the magazine's 20th anniversary. Six anime series are collected into an ""in motion"" series titled ""6 Lovers.""",165.1911,/6QCUTINWv4rxmWs6EGYDjqawU8c.jpg,2021-02-27,False,6 Lovers,8.3,3
False,/2eIlCirgcvEwmCSYh2wDfz5Sxvz.jpg,"[18, 80, 9648]",46952,['US'],en,The Blacklist,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",142.5658,/4HTfd1PhgFUenJxVuBDNdLmdr0c.jpg,2013-09-23,False,The Blacklist,7.6,3603
