adult,backdrop_path,id,name,original_name,overview,poster_path,media_type,original_language,genre_ids,popularity,first_air_date,softcore,vote_average,vote_count,origin_country,title,original_title,release_date,video
False,/eJOy7YWAHgOS3V477sdTsq4v9jp.jpg,82684,That Time I Got Reincarnated as a Slime,転生したらスライムだった件,"Corporate worker Mikami Satoru is stabbed by a random killer, and is reborn to an alternate world. But he turns out to be reborn a slime! Thrown into this new world with the name Rimuru, he begins his quest to create a world that’s welcoming to all races.",/pzujcdPAoH361NObVrtbA7zACE7.jpg,tv,ja,"[10759, 16, 10765, 35]",38.2961,2018-10-02,False,8.426,923,['JP'],,,,
False,/szEFnQcjnaEDJrMO8cNnJIkh0Ob.jpg,314554,From Overshadowed to Overpowered: Second Reincarnation of a Talentless Sage,落第賢者の学院無双 ～二度目の転生、Ｓランクチート魔術師冒険録～,"The great sage Ephtal dies in despair after failing to reach the peak of magic—but 400 years later, he’s reborn with all his memories and power intact! In a world where magic has decayed and ancient spells are treated as miracles, Ephtal storms into a prestigious magic academy to reclaim the true art of sorcery. As his power shakes the world, long-forgotten legends begin to awaken!",/p4TE3kK2iyuADfDYIRDTxjahdNa.jpg,tv,ja,"[16, 10759, 10765]",19.1204,2026-07-02,False,6.0,1,['JP'],,,,
False,/Af907x5h9W1wVis8XrSd7ynTWuy.jpg,1314481,,,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",/xTI42pmsP5EDnvsNJPEDubwWBQO.jpg,movie,en,"[35, 18]",34.4121,,False,6.549,840,,The Devil Wears Prada 2,The Devil Wears Prada 2,2026-04-29,False
False,/3yQV8aUxMYeSCVF6R5Q6xcaMZsl.jpg,880067,,,"A talented violinist whose prestigious new role as a music tutor for an enigmatic, elite family spirals into a psychological battle for her safety and sanity.",/lWdpUOhnJ8uWWO1G1vbyUsCliov.jpg,movie,en,"[9648, 53]",19.6731,,False,8.15,10,,Strung,Strung,2026-06-18,False
False,/eGX66zonvc4bXg3rM08RUxdYSDx.jpg,1061474,,,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",/ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg,movie,en,"[878, 12, 28]",41.875,,False,7.338,4938,,Superman,Superman,2025-07-09,False
False,/vPVdWiLUNQyaGMazyZGVAyRcYBG.jpg,261145,The Amazing Digital Circus,The Amazing Digital Circus,A woman finds herself trapped in a virtual circus where she and five other humans are subject to the whims of a wacky AI ringmaster. In this digital purgatory they must face frightening NPCs and cope with their own personal traumas.,/lpfrgfomX8uNFxv4VaEzvJGs9TK.jpg,tv,en,"[16, 35, 18, 10765]",64.0181,2023-10-13,False,8.7,324,['AU'],,,,
False,/vstgoeNAyIhSErJ9EWSqh2pINUc.jpg,125928,My Adventures with Superman,My Adventures with Superman,"Twenty-somethings Clark Kent, the bright and driven Lois Lane, and their best friend Jimmy Olsen begin to discover who they are and everything they can accomplish together as an investigative reporting team at the Daily Planet.",/tMslOS7noUUjc8BLvePk2QsV75v.jpg,tv,en,"[16, 10759, 10765]",26.3372,2023-07-07,False,8.152,231,['US'],,,,
False,/iYjlQzWbcFIjWe2WifbEPb4kErp.jpg,1127384,,,A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,/kjcuS7xaRyqRjVaVcH4t0qHshuX.jpg,movie,en,"[53, 27]",298.9954,,False,6.1,65,,Deep Water,Deep Water,2026-04-30,False
False,/n4B2dVVScH4L4Scvy7mTboYcfGQ.jpg,296285,Oasis,Oasis,"Oasis is the most luxurious holiday resort in the country — a paradise reserved for the wealthiest families, featuring private beaches, VIP facilities, and impenetrable security. The perfect place to spend the best summer of your life. But everything falls apart when the police storm the resort to investigate a mysterious disappearance. In such an exclusive place, everyone is a suspect — and no one can leave until the culprit is found.",/vWBtcjETIUd45OoIULEqc6qZxM7.jpg,tv,es,"[80, 9648, 18]",74.5581,2026-06-19,False,6.857,14,['ES'],,,,
False,/uTWhbLc7Bj4qNSdW3ZvZKL8cOHv.jpg,125988,Silo,Silo,"In a ruined and toxic future, thousands live in a giant silo deep underground. After its sheriff breaks a cardinal rule and residents die mysteriously, engineer Juliette starts to uncover shocking secrets and the truth about the silo.",/fDMTqUcEh6qJwWZP1SHTfoaqsCy.jpg,tv,en,"[10765, 18]",55.3224,2023-05-04,False,8.163,2117,['US'],,,,
